﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4T6HLdP6OcAtqC6tGnQelG","Everything","Michael Bublé","Call Me Irresponsible (Standard Edition)","1","9","212373","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T18:22:02Z"
"spotify:track:2fSG8OpJBPmtOaMUozlj4X","Mandass Morran Blus - Original Mix","Magnus International","Undulat","1","2","283458","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T18:23:53Z"
"spotify:track:2UxDBdDk742vdfJsuAQW9m","Get Up Disco - Original Mix","soho808","Super Sound Single Volume 4","1","4","464036","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T18:34:58Z"
"spotify:track:4N5SBOSRzF5ND6S69LsfzE","Time Side On - Mighty Mouse Remix","City Reverb, Mighty Mouse","City Of Lights - Remixes","1","8","459200","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T18:36:08Z"
"spotify:track:1WJ96y5wT3gQdrDGXEU2ZP","Down to Love","Hot Toddy","Late Night Boogie","1","6","393666","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T18:50:00Z"
"spotify:track:0A8jjCf9QfIu1GgZJIZJ0i","Blissful Limbo","Smallpeople","Lowrider Anarchy","1","1","407884","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T18:53:40Z"
"spotify:track:5t5q083R1KbViJ42U3yCfo","By & Bye","Hidden Spheres","By & Bye","1","3","417320","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T18:54:21Z"
"spotify:track:7duE619zkvYtQG7BmQAEIl","Time","Leon Vynehall","Will Saul presents: DJ-Kicks EP","1","4","421094","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T18:56:13Z"
"spotify:track:5LIEAxjZPe3L1k5Q6ltifP","Jazz Piece 2","DJ Aakmael","Jus' Tracks","1","1","420132","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T18:56:23Z"
"spotify:track:2ufCRStw3mccVZeRTuao5X","The Wackness","Alex Agore","Memories","1","4","423173","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T19:02:32Z"
"spotify:track:2g4dkOcLRaGSikl5e3d3gc","Free Flight - Instrumental","Acos CoolKAs","02-Sampler","1","4","318373","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T19:34:36Z"
"spotify:track:4YlTYB5nNlLfv3PVoCeYYO","Khan's bargain - Original Mix","Nebraska","Soften the wireless EP","1","1","329110","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T20:04:43Z"
"spotify:track:564uqxRIkgsCn1lPbaF1y7","Without You - Original Mix","Nicholas","Super Sound Single Volume 2","1","1","484112","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T20:04:58Z"
"spotify:track:7K0zIiRhf2WdHStfJR3HMU","I Hadn't Known (I Only Heard)","Herbert","You Are Here","1","8","442133","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T20:12:30Z"
"spotify:track:5nqw4dpNtD36A0RYGkYGxA","Solsidan - Original Mix","HNNY","Solsidan / Alby","1","1","305364","spotify:user:gwzha6m852i8c48t9qouw1apd","2018-04-07T20:49:03Z"
